created,d1,d2,d3,d4,d5,d6,d7,d8,cmnt
8/3/2022, 5:49:28 PM.335,,,,,,,,
8/3/2022, 5:49:38 PM.765,,,,,,,,
8/3/2022, 5:49:48 PM.890,,,,,,,,
8/3/2022, 5:49:59 PM.96,,,,,,,,
8/3/2022, 5:50:09 PM.214,,,,,,,,
8/3/2022, 5:50:19 PM.334,,,,,,,,
8/3/2022, 5:50:29 PM.467,,,,,,,,
8/3/2022, 5:50:39 PM.587,,,,,,,,
8/3/2022, 5:50:49 PM.707,,,,,,,,
8/3/2022, 5:50:59 PM.825,,,,,,,,
8/3/2022, 5:51:09 PM.950,,,,,,,,
8/3/2022, 5:51:20 PM.85,,,,,,,,
8/3/2022, 5:51:30 PM.233,,,,,,,,
8/3/2022, 5:51:40 PM.389,,,,,,,,
8/3/2022, 5:52:35 PM.118,0.008,-0.09756097560975609,0,0,,,,
8/3/2022, 5:52:45 PM.269,0.008,-0.09756097560975609,0,-0.01,,,,
8/3/2022, 5:52:55 PM.508,0.008,0,0,-0.01,,,,
8/3/2022, 5:53:05 PM.669,0.008,-0.09756097560975609,0,-0.01,,,,
8/3/2022, 5:53:15 PM.832,0.004,-0.09756097560975609,0,-0.01,,,,
8/3/2022, 5:53:25 PM.989,0.008,0,0,-0.01,,,,
8/3/2022, 5:53:36 PM.148,0.408,1020.0975609756098,415.60975609756093,102.02,,,,
8/3/2022, 5:53:46 PM.311,0.424,1046.4878048780486,443.9024390243902,104.66,,,,
8/3/2022, 5:53:56 PM.468,0.42,1030.7804878048778,433.17073170731703,103.11,,,,
8/3/2022, 5:54:06 PM.633,0.392,967.8048780487804,378.5365853658536,96.79,,,,
8/3/2022, 5:54:16 PM.791,0.392,959.1219512195122,375.60975609756093,95.9,,,,
8/3/2022, 5:54:26 PM.953,0.404,996.4878048780487,405.8536585365853,99.64,,,,
8/3/2022, 5:54:37 PM.112,0.4,973.1219512195121,390.24390243902434,97.33,,,,
8/3/2022, 5:54:47 PM.276,0.392,958.4878048780488,375.60975609756093,95.85000000000001,,,,
8/3/2022, 5:54:57 PM.433,0.396,962.7317073170732,385.36585365853654,96.27,,,,
8/3/2022, 5:55:07 PM.591,0.392,959.3170731707316,375.60975609756093,95.94,,,,
8/3/2022, 5:55:17 PM.749,0.396,957.4146341463414,375.60975609756093,95.74000000000001,,,,
8/3/2022, 5:55:27 PM.915,0.392,948.1951219512194,367.80487804878044,94.84,,,,
8/3/2022, 5:55:38 PM.73,0.392,951.2195121951219,372.68292682926824,95.11,,,,
8/3/2022, 5:55:48 PM.228,0.384,941.0243902439024,360.97560975609747,94.10000000000001,,,,
8/3/2022, 5:55:58 PM.392,0.38,921.0243902439024,350.2439024390244,92.08,,,,
8/3/2022, 5:56:08 PM.554,0.388,939.4146341463414,364.87804878048775,93.95,,,,
8/3/2022, 5:56:18 PM.710,0.384,939.1219512195121,360.97560975609747,93.92,,,,
8/3/2022, 5:56:28 PM.847,0.364,900.1951219512194,333.6585365853658,90.02,,,,
8/3/2022, 5:56:39 PM.28,0.38,928.6341463414634,353.17073170731703,92.88,,,,
8/3/2022, 5:56:49 PM.189,0.384,931.5121951219512,353.17073170731703,93.18,,,,
8/3/2022, 5:56:59 PM.349,0.384,927.2195121951219,351.2195121951219,92.73,,,,
8/3/2022, 5:57:09 PM.512,0.38,928.4878048780487,353.17073170731703,92.85000000000001,,,,
8/3/2022, 5:57:19 PM.669,0.38,926.8292682926829,351.2195121951219,92.7,,,,
8/3/2022, 5:57:29 PM.830,0.38,923.6097560975609,351.2195121951219,92.38,,,,
8/3/2022, 5:57:39 PM.971,0.38,923.9999999999999,351.2195121951219,92.41,,,,
8/3/2022, 5:57:50 PM.148,0.38,924.390243902439,351.2195121951219,92.45,,,,
8/3/2022, 5:58:00 PM.552,0.38,924.7317073170731,351.2195121951219,92.48,,,,
8/3/2022, 5:58:10 PM.773,0.38,924.390243902439,351.2195121951219,92.47,,,,
8/3/2022, 5:58:20 PM.923,0.38,925.4146341463414,351.2195121951219,92.55,,,,
8/3/2022, 5:58:31 PM.54,0.38,926.2926829268292,351.2195121951219,92.65,,,,
8/3/2022, 5:58:41 PM.244,0.38,926.2926829268292,351.2195121951219,92.63,,,,
8/3/2022, 5:58:51 PM.379,0.38,926.4878048780487,351.2195121951219,92.64,,,,
8/3/2022, 5:59:01 PM.589,0.384,925.9999999999999,351.2195121951219,92.61,,,,
8/3/2022, 5:59:11 PM.834,0.38,925.8048780487804,351.2195121951219,92.61,,,,
8/3/2022, 5:59:21 PM.990,0.38,925.8048780487804,348.29268292682923,92.59,,,,
8/3/2022, 5:59:32 PM.228,0.38,924.8292682926829,351.2195121951219,92.47,,,,
8/3/2022, 5:59:42 PM.400,0.38,923.9999999999999,351.2195121951219,92.41,,,,
8/3/2022, 5:59:52 PM.527,0.38,921.1219512195121,350.2439024390244,92.12,,,,
8/3/2022, 6:00:02 PM.746,0.376,917.9999999999999,348.29268292682923,91.81,,,,
8/3/2022, 6:00:12 PM.934,0.376,915.7073170731707,343.4146341463414,91.57000000000001,,,,
8/3/2022, 6:00:23 PM.89,0.376,915.8048780487804,343.4146341463414,91.61,,,,
8/3/2022, 6:00:33 PM.227,0.376,916.3902439024389,345.36585365853654,91.64,,,,
8/3/2022, 6:00:43 PM.363,0.376,917.6097560975609,348.29268292682923,91.77,,,,
8/3/2022, 6:00:53 PM.490,0.376,915.9024390243902,343.4146341463414,91.62,,,,
8/3/2022, 6:01:03 PM.672,0.376,912.8292682926829,343.4146341463414,91.3,,,,
8/3/2022, 6:01:13 PM.833,0.376,913.2195121951219,343.4146341463414,91.32000000000001,,,,
8/3/2022, 6:01:23 PM.999,0.376,913.0243902439024,340.48780487804873,91.32000000000001,,,,
8/3/2022, 6:01:34 PM.150,0.376,912.9268292682926,343.4146341463414,91.29,,,,
8/3/2022, 6:01:44 PM.309,0.372,912.5365853658536,343.4146341463414,91.28,,,,
8/3/2022, 6:01:54 PM.549,0.376,912.2926829268292,343.4146341463414,91.24,,,,
8/3/2022, 6:02:04 PM.712,0.376,911.5121951219511,338.5365853658536,91.15,,,,
8/3/2022, 6:02:15 PM.36,0.376,911.7073170731707,342.4390243902439,91.17,,,,
8/3/2022, 6:02:25 PM.188,0.376,912.1951219512194,343.4146341463414,91.23,,,,
8/3/2022, 6:02:35 PM.364,0.376,912.1951219512194,343.4146341463414,91.23,,,,
8/3/2022, 6:02:45 PM.511,0.376,912.1951219512194,343.4146341463414,91.23,,,,
8/3/2022, 6:02:55 PM.670,0.376,912.1951219512194,343.4146341463414,91.23,,,,
8/3/2022, 6:03:05 PM.830,0.372,907.5121951219511,337.56097560975604,90.77,,,,
8/3/2022, 6:03:16 PM.75,0.372,909.4146341463414,338.5365853658536,90.95,,,,
8/3/2022, 6:03:26 PM.228,0.376,909.6097560975609,338.5365853658536,90.98,,,,
8/3/2022, 6:03:36 PM.388,0.376,909.5121951219511,342.4390243902439,90.95,,,,
8/3/2022, 6:03:46 PM.553,0.372,907.9024390243901,337.56097560975604,90.81,,,,
8/3/2022, 6:03:56 PM.683,0.376,908.7317073170731,342.4390243902439,90.87,,,,
8/3/2022, 6:04:06 PM.871,0.376,909.2195121951219,342.4390243902439,90.92,,,,
8/3/2022, 6:04:17 PM.28,0.372,910.1951219512194,338.5365853658536,91.02,,,,
8/3/2022, 6:04:27 PM.191,0.376,911.1219512195121,338.5365853658536,91.11,,,,
8/3/2022, 6:04:37 PM.356,0.376,911.2195121951219,342.4390243902439,91.14,,,,
8/3/2022, 6:04:47 PM.589,0.372,910.9268292682926,342.4390243902439,91.09,,,,
8/3/2022, 6:04:57 PM.750,0.376,910.7317073170731,338.5365853658536,91.06,,,,
8/3/2022, 6:05:07 PM.919,0.376,910.0975609756097,342.4390243902439,91.01,,,,
8/3/2022, 6:05:18 PM.83,0.376,909.5121951219511,342.4390243902439,90.96000000000001,,,,
8/3/2022, 6:05:28 PM.228,0.376,909.3170731707316,342.4390243902439,90.94,,,,
8/3/2022, 6:05:38 PM.388,0.376,909.0243902439023,342.4390243902439,90.9,,,,
8/3/2022, 6:05:48 PM.551,0.372,908.1951219512194,337.56097560975604,90.83,,,,
8/3/2022, 6:05:58 PM.709,0.376,907.9999999999999,342.4390243902439,90.82000000000001,,,,
8/3/2022, 6:06:08 PM.868,0.376,907.8048780487804,337.56097560975604,90.78,,,,
8/3/2022, 6:06:19 PM.30,0.372,907.6097560975609,337.56097560975604,90.79,,,,
8/3/2022, 6:06:29 PM.269,0.376,907.5121951219511,337.56097560975604,90.77,,,,
8/3/2022, 6:06:39 PM.431,0.376,907.1219512195121,337.56097560975604,90.71000000000001,,,,
8/3/2022, 6:06:49 PM.589,0.372,906.8292682926829,337.56097560975604,90.7,,,,
8/3/2022, 6:06:59 PM.748,0.372,906.6341463414633,337.56097560975604,90.68,,,,
8/3/2022, 6:07:09 PM.908,0.372,906.0975609756097,337.56097560975604,90.63,,,,
8/3/2022, 6:07:20 PM.68,0.372,905.9999999999999,337.56097560975604,90.60000000000001,,,,
8/3/2022, 6:07:30 PM.229,0.372,905.9999999999999,337.56097560975604,90.61,,,,
8/3/2022, 6:07:40 PM.390,0.376,905.8048780487804,340.48780487804873,90.57000000000001,,,,
8/3/2022, 6:07:50 PM.549,0.372,905.4146341463414,337.56097560975604,90.55,,,,
8/3/2022, 6:08:00 PM.715,0.372,905.3170731707316,337.56097560975604,90.55,,,,
8/3/2022, 6:08:11 PM.7,0.372,905.8048780487804,340.48780487804873,90.59,,,,
8/3/2022, 6:08:21 PM.143,0.372,905.6097560975609,337.56097560975604,90.57000000000001,,,,
8/3/2022, 6:08:31 PM.350,0.372,907.0243902439023,337.56097560975604,90.7,,,,
8/3/2022, 6:08:41 PM.593,0.376,906.9268292682926,337.56097560975604,90.71000000000001,,,,
8/3/2022, 6:08:51 PM.748,0.372,906.7317073170731,337.56097560975604,90.7,,,,
8/3/2022, 6:09:01 PM.913,0.376,906.2926829268292,337.56097560975604,90.64,,,,
8/3/2022, 6:09:12 PM.69,0.372,905.8048780487804,337.56097560975604,90.59,,,,
8/3/2022, 6:09:22 PM.228,0.372,905.3170731707316,337.56097560975604,90.55,,,,
8/3/2022, 6:09:32 PM.358,0.372,904.8292682926829,337.56097560975604,90.47,,,,
8/3/2022, 6:09:42 PM.519,0.372,903.7073170731707,335.60975609756093,90.4,,,,
8/3/2022, 6:09:52 PM.653,0.372,903.1219512195121,332.68292682926824,90.3,,,,
8/3/2022, 6:10:02 PM.816,0.372,902.5365853658536,335.60975609756093,90.28,,,,
8/3/2022, 6:10:12 PM.981,0.368,901.8048780487804,335.60975609756093,90.18,,,,
8/3/2022, 6:10:23 PM.110,0.372,901.0243902439023,335.60975609756093,90.12,,,,
8/3/2022, 6:10:33 PM.282,0.372,900.0975609756097,333.6585365853658,90.03,,,,
8/3/2022, 6:10:43 PM.419,0.372,899.0243902439023,333.6585365853658,89.92,,,,
8/3/2022, 6:10:53 PM.551,0.372,898.2926829268292,330.73170731707313,89.86,,,,
8/3/2022, 6:11:03 PM.683,0.368,897.6097560975609,333.6585365853658,89.76,,,,
8/3/2022, 6:11:13 PM.831,0.368,896.5365853658535,329.75609756097555,89.68,,,,
8/3/2022, 6:11:23 PM.994,0.368,895.4146341463413,329.75609756097555,89.55,,,,
8/3/2022, 6:11:34 PM.148,0.368,894.1951219512194,329.75609756097555,89.41,,,,
8/3/2022, 6:11:44 PM.309,0.368,892.7317073170731,329.75609756097555,89.29,,,,
8/3/2022, 6:11:54 PM.475,0.368,891.7073170731707,324.87804878048775,89.18,,,,
8/3/2022, 6:12:04 PM.628,0.368,890.4390243902438,324.87804878048775,89.05,,,,
8/3/2022, 6:12:14 PM.789,0.368,889.3170731707316,324.87804878048775,88.95,,,,
8/3/2022, 6:12:24 PM.951,0.364,888.7317073170731,327.80487804878044,88.87,,,,
8/3/2022, 6:12:35 PM.108,0.364,887.4146341463413,322.92682926829264,88.75,,,,
8/3/2022, 6:12:45 PM.271,0.368,885.8048780487804,322.92682926829264,88.59,,,,
8/3/2022, 6:12:55 PM.509,0.364,884.4390243902438,320.9756097560975,88.46000000000001,,,,
8/3/2022, 6:13:05 PM.674,0.364,883.1219512195121,318.04878048780483,88.33,,,,
8/3/2022, 6:13:15 PM.829,0.364,882.1951219512194,320.9756097560975,88.22,,,,
8/3/2022, 6:13:26 PM.6,0.36,881.2195121951219,316.0975609756097,88.13,,,,
8/3/2022, 6:13:36 PM.310,0.364,880.1951219512194,319.99999999999994,88.03,,,,
8/3/2022, 6:13:46 PM.470,0.36,878.8292682926829,316.0975609756097,87.88,,,,
8/3/2022, 6:13:56 PM.631,0.364,877.4146341463413,316.0975609756097,87.74,,,,
8/3/2022, 6:14:06 PM.791,0.36,875.9999999999999,319.99999999999994,87.60000000000001,,,,
8/3/2022, 6:14:16 PM.950,0.36,874.8292682926829,315.12195121951214,87.48,,,,
8/3/2022, 6:14:27 PM.110,0.36,873.0243902439023,315.12195121951214,87.3,,,,
8/3/2022, 6:14:37 PM.269,0.356,870.3414634146341,313.17073170731703,87.05,,,,
8/3/2022, 6:14:47 PM.429,0.356,868.1951219512194,308.29268292682923,86.83,,,,
8/3/2022, 6:14:57 PM.592,0.356,866.1951219512194,308.29268292682923,86.62,,,,
8/3/2022, 6:15:07 PM.751,0.356,864.1951219512193,308.29268292682923,86.42,,,,
8/3/2022, 6:15:17 PM.910,0.356,862.6341463414633,307.31707317073165,86.27,,,,
8/3/2022, 6:15:28 PM.68,0.352,861.2195121951219,307.31707317073165,86.14,,,,
8/3/2022, 6:15:38 PM.308,0.352,858.3414634146341,302.4390243902439,85.85000000000001,,,,
8/3/2022, 6:15:48 PM.470,0.356,855.8048780487804,300.4878048780488,85.59,,,,
8/3/2022, 6:15:58 PM.630,0.348,854.4390243902438,297.5609756097561,85.46000000000001,,,,
8/3/2022, 6:16:08 PM.788,0.352,853.7073170731707,300.4878048780488,85.37,,,,
8/3/2022, 6:16:18 PM.948,0.352,852.9268292682926,300.4878048780488,85.31,,,,
8/3/2022, 6:16:29 PM.110,0.352,852.1951219512194,300.4878048780488,85.23,,,,
8/3/2022, 6:16:39 PM.269,0.352,852.0975609756098,297.5609756097561,85.21000000000001,,,,
8/3/2022, 6:16:57 PM.429,0.352,853.3170731707316,297.5609756097561,85.32000000000001,,,,
8/3/2022, 6:17:07 PM.593,0.348,852.6341463414634,297.5609756097561,85.28,,,,
8/3/2022, 6:17:17 PM.735,0.348,851.7073170731707,300.4878048780488,85.19,,,,
8/3/2022, 6:17:27 PM.908,0.348,851.219512195122,298.5365853658536,85.12,,,,
8/3/2022, 6:17:38 PM.69,0.352,850.6341463414634,295.60975609756093,85.08,,,,
8/3/2022, 6:17:48 PM.203,0.348,850.1951219512194,295.60975609756093,85.02,,,,
8/3/2022, 6:17:58 PM.331,0.348,849.4146341463414,295.60975609756093,84.96000000000001,,,,
8/3/2022, 6:18:08 PM.553,0.348,848.9268292682926,295.60975609756093,84.91,,,,
8/3/2022, 6:18:18 PM.684,0.348,848.6341463414634,295.60975609756093,84.87,,,,
8/3/2022, 6:18:28 PM.872,0.352,848.1951219512194,295.60975609756093,84.83,,,,
8/3/2022, 6:18:39 PM.31,0.352,847.8048780487804,295.60975609756093,84.8,,,,
8/3/2022, 6:18:49 PM.195,0.348,847.5121951219512,295.60975609756093,84.75,,,,
8/3/2022, 6:18:59 PM.350,0.352,846.9268292682926,293.6585365853658,84.7,,,,
8/3/2022, 6:19:09 PM.511,0.352,846.4390243902438,293.6585365853658,84.65,,,,
8/3/2022, 6:19:19 PM.653,0.348,845.8048780487804,290.73170731707313,84.59,,,,
8/3/2022, 6:19:29 PM.787,0.348,845.4146341463414,293.6585365853658,84.55,,,,
8/3/2022, 6:19:39 PM.921,0.348,844.8292682926829,293.6585365853658,84.49,,,,
8/3/2022, 6:19:50 PM.56,0.348,844.0975609756098,293.6585365853658,84.43,,,,
8/3/2022, 6:20:00 PM.210,0.348,843.609756097561,290.73170731707313,84.37,,,,
8/3/2022, 6:20:10 PM.346,0.344,843.1219512195122,293.6585365853658,84.32000000000001,,,,
8/3/2022, 6:20:20 PM.475,0.348,842.4390243902438,292.6829268292683,84.25,,,,
8/3/2022, 6:20:30 PM.611,0.344,841.4146341463414,289.7560975609756,84.16,,,,
8/3/2022, 6:20:40 PM.755,0.344,840.4390243902438,289.7560975609756,84.04,,,,
8/3/2022, 6:20:50 PM.903,0.344,840.3414634146341,289.7560975609756,84.04,,,,
8/3/2022, 6:21:01 PM.31,0.344,840.4390243902438,289.7560975609756,84.05,,,,
8/3/2022, 6:21:11 PM.188,0.344,839.4146341463414,292.6829268292683,83.96000000000001,,,,
8/3/2022, 6:21:21 PM.348,0.344,839.0243902439024,289.7560975609756,83.9,,,,
8/3/2022, 6:21:31 PM.509,0.344,838.2439024390244,287.80487804878044,83.83,,,,
8/3/2022, 6:21:41 PM.668,0.344,838,287.80487804878044,83.81,,,,
8/3/2022, 6:21:51 PM.829,0.344,836.9268292682926,287.80487804878044,83.7,,,,
8/3/2022, 6:22:01 PM.999,0.34,836.0975609756097,287.80487804878044,83.62,,,,
8/3/2022, 6:22:12 PM.228,0.34,835.5121951219512,284.8780487804878,83.56,,,,
8/3/2022, 6:22:22 PM.388,0.344,834.9268292682926,284.8780487804878,83.5,,,,
8/3/2022, 6:22:32 PM.549,0.34,834.2439024390244,287.80487804878044,83.45,,,,
8/3/2022, 6:22:42 PM.709,0.34,834.2439024390244,282.92682926829264,83.4,,,,
8/3/2022, 6:22:52 PM.874,0.34,833.5121951219512,282.92682926829264,83.35000000000001,,,,
8/3/2022, 6:23:03 PM.30,0.34,833.0243902439024,285.8536585365853,83.29,,,,
8/3/2022, 6:23:13 PM.191,0.34,832.6341463414634,282.92682926829264,83.26,,,,
8/3/2022, 6:23:23 PM.354,0.34,832.0975609756097,282.92682926829264,83.23,,,,
8/3/2022, 6:23:33 PM.509,0.344,831.5121951219512,282.92682926829264,83.19,,,,
8/3/2022, 6:23:43 PM.669,0.336,831.3170731707316,282.92682926829264,83.14,,,,
8/3/2022, 6:23:53 PM.828,0.34,830.5365853658536,279.99999999999994,83.06,,,,
8/3/2022, 6:24:04 PM.7,0.336,830.4390243902438,282.92682926829264,83.05,,,,
8/3/2022, 6:24:14 PM.230,0.336,830,282.92682926829264,83,,,,
8/3/2022, 6:24:24 PM.389,0.34,831.2195121951219,282.92682926829264,83.11,,,,
8/3/2022, 6:24:34 PM.553,0.34,831.0243902439024,282.92682926829264,83.13,,,,
